Month,CBSACode,CBSATitle,Country,PropertyType,NoOfBdrs,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201804,12660,"Baraboo, WI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,77450.000000,-0.0159,0.0320,650.00000,0.0039,0.0595,113.93203883495100,0.0795,-0.0465,31.0,0.1481,0.1923,0.2258,-0.3224,0.4681,95.50,-72.00,-0.4299,-85.50,-0.4724,4.0,-0.5000,0.0000,0.0,,,4.0,,,0.0,,,31.0,0.1481,0.1923,0.0000,0.0000,0.0000,-0.1713,0.6793,-0.3191,0.3913,0,0
201804,44260,"Starkville, MS",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,49950.000000,-0.0672,-0.0672,660.00000,0.0000,0.0000,75.60606060606000,-0.0673,-0.0673,10.0,0.2500,-0.1667,0.1000,,,647.00,17.50,0.0278,350.00,1.1785,0.0,,,0.0,,,0.0,,,0.0,,,10.0,0.2500,-0.1667,0.0000,0.0000,0.0000,1.9937,0.9669,0.8947,0.8000,0,0
201804,30020,"Lawton, OK",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,45050.000000,0.0000,,1100.00000,0.0000,,40.90909090909000,0.0000,,1.0,0.0000,,0.0000,-1.0000,,51.00,31.50,1.6154,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,,0.0000,0.0000,,-0.2653,,-0.2653,,0,0
201804,11780,"Ashtabula, OH",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,99950.000000,0.0000,0.2502,,,,,,,1.0,0.0000,0.0000,0.5000,,,191.00,17.50,0.1009,123.00,1.8088,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2063,-0.4444,0.4921,0.0444,0,0
201804,26620,"Huntsville, AL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,72500.000000,0.1056,0.1145,754.00000,0.0000,-0.0007,88.01379982861000,0.1154,0.1843,9.0,0.0000,0.0000,0.2222,1.0000,0.0000,165.00,31.50,0.2360,63.00,0.6176,0.0,-1.0000,,0.0,,,0.0,,,0.0,,,9.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.2727,0.4800,0.3913,0.6842,0,0
201804,42940,"Sevierville, TN",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,104950.000000,-0.0196,-0.1251,560.00000,0.0022,0.0000,163.44485749690200,-0.1367,-0.0691,29.0,-0.0492,-0.1471,0.2069,-0.0981,0.4074,152.00,9.25,0.0648,13.00,0.0935,4.0,-0.3333,0.0000,0.0,,,0.0,-1.0000,,1.0,0.0000,-0.6667,30.0,-0.0476,-0.1892,0.0345,0.0017,-0.0538,-0.1529,0.2886,-0.1556,0.3818,0,0
201804,13020,"Bay City, MI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,34550.000000,0.0000,1.0029,523.00000,0.0000,-0.1283,65.96558317399600,0.0000,0.7798,3.0,0.0000,0.5000,0.0000,-1.0000,,207.00,31.50,0.1795,77.50,0.5985,0.0,,,0.0,,,0.0,,,0.0,,-1.0000,3.0,0.0000,0.0000,0.0000,0.0000,-0.5000,-0.2013,0.3297,-0.2000,-0.1111,1,0
201804,26580,"Huntington-Ashland, WV-KY-OH",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,124950.000000,0.0000,-0.1642,884.00000,0.0000,0.0080,169.57013574660600,-0.0076,-0.0377,7.0,0.4000,0.1667,0.1429,-0.2855,-0.1428,275.00,10.00,0.0377,93.50,0.5152,0.0,,,0.0,,,0.0,,,0.0,,-1.0000,7.0,0.4000,0.0000,0.0000,0.0000,-0.1667,0.4795,1.0250,0.0455,0.7692,1,0
201804,41940,"San Jose-Sunnyvale-Santa Clara, CA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,580050.000000,0.0180,0.2022,737.00000,-0.0111,-0.0935,772.49799679487150,0.0216,0.2729,17.0,0.0968,-0.5952,0.9411,-0.0589,0.4638,12.00,3.75,0.4545,-12.00,-0.5000,40.0,-0.0909,-0.2308,0.0,,,0.0,,-1.0000,47.0,0.6491,0.0217,64.0,0.4545,-0.2727,2.7647,0.9260,1.6695,-0.1059,-0.3572,-0.2356,0.3039,1,0
201804,17980,"Columbus, GA-AL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,174250.000000,0.0000,-0.0317,854.50000,0.0655,0.2095,217.54167796306400,0.0000,-0.1849,4.0,0.0000,0.0000,0.2500,,-0.6667,101.50,-18.00,-0.1506,76.50,3.0600,0.0,,-1.0000,0.0,,,0.0,,,0.0,,,4.0,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2893,-0.4656,-0.2917,-0.3929,0,0
201804,17900,"Columbia, SC",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,119950.000000,0.1478,0.1989,738.00000,-0.0283,-0.0160,145.91147786946700,0.0159,-0.0881,22.0,0.1000,-0.2667,0.3181,-0.1518,0.3634,58.00,6.25,0.1208,-31.00,-0.3483,4.0,-0.5000,0.0000,0.0,,,4.0,1.0000,0.0000,0.0,,,22.0,0.1000,-0.2667,0.0000,0.0000,0.0000,-0.2385,0.1750,-0.2727,0.6364,0,0
201804,13140,"Beaumont-Port Arthur, TX",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,89000.000000,0.1918,0.1558,1046.00000,0.1284,0.2371,86.25000000000000,0.0000,-0.0583,3.0,0.5000,0.5000,0.8333,0.1110,0.6666,14.50,-9.75,-0.4021,-4.50,-0.2368,0.0,,-1.0000,0.0,,,0.0,,,0.0,-1.0000,,3.0,0.2000,0.5000,0.0000,-0.2500,0.0000,0.5434,0.9651,0.6294,0.8663,0,0
201804,33340,"Milwaukee-Waukesha-West Allis, WI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,132950.000000,-0.0287,0.0000,872.00000,-0.0180,-0.0141,154.64074107477300,0.0159,0.0650,142.0,0.0677,-0.0070,0.3803,0.0117,0.0071,44.00,-4.75,-0.0974,0.00,0.0000,36.0,-0.2500,-0.2500,0.0,,,8.0,0.0000,-0.5000,0.0,,,142.0,0.0677,-0.0070,0.0000,0.0000,0.0000,-0.0915,0.3150,-0.1507,0.2917,0,0
201804,27780,"Johnstown, PA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,42050.000000,0.0000,-0.1763,622.00000,0.0000,-0.0372,67.52411575562700,0.0000,-0.1456,1.0,0.0000,-0.5000,0.0000,,-1.0000,439.00,31.50,0.0773,386.50,7.3619,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,-0.5000,0.0000,0.0000,0.0000,-0.2857,-0.4737,-0.2857,0.1111,0,1
201804,12420,"Austin-Round Rock, TX",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,327000.000000,0.0138,-0.0002,723.00000,-0.0240,0.0126,390.94214608920400,0.0014,-0.0334,159.0,0.1277,0.1955,0.4214,0.1883,0.0379,45.00,-6.25,-0.1220,-3.00,-0.0625,80.0,0.1765,0.1111,4.0,-0.6000,,32.0,0.7778,0.1429,101.0,-0.0472,0.1348,260.0,0.0526,0.1712,0.6352,-0.1166,-0.0340,0.0493,0.1638,-0.0534,-0.0746,0,0
201804,25860,"Hickory-Lenoir-Morganton, NC",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,77650.000000,0.1774,0.2931,758.50000,-0.1149,0.0033,102.25484777061600,0.3127,0.2884,1.0,-0.3333,-0.3333,0.0000,-1.0000,-1.0000,38.50,12.50,0.4808,31.00,4.1333,0.0,,-1.0000,0.0,,,0.0,,,0.0,,-1.0000,1.0,-0.3333,-0.7143,0.0000,0.0000,-1.3333,-0.0423,-0.2972,0.4703,0.3077,1,0
201804,25620,"Hattiesburg, MS",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,145050.000000,0.0000,-0.3255,1415.00000,0.0000,-0.3848,102.47349823321500,0.0000,0.0962,1.0,0.0000,0.0000,0.0000,-1.0000,,46.00,31.50,2.1724,9.00,0.2432,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,-0.6795,-0.4565,-0.6795,-0.4565,0,1
