Month,Countyfips,CountyName,Country,PropertyType,NoOfBdrs,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201804,17037,"DeKalb, IL",USA,Single Family Home,bdrs_5+,361500.000000,-0.1108,0.0711,3880.50000,0.0000,0.0090,84.24834225475200,-0.1081,-0.1358,7.0,0.1667,0.1667,0.1429,0.7154,,121.00,7.50,0.0661,40.00,0.4938,0.0,,,0.0,,,0.0,-1.0000,,0.0,,,7.0,0.1667,0.1667,0.0000,0.0000,0.0000,0.4784,0.5054,0.2658,0.2987,0,0
201804,26045,"Eaton, MI",USA,Single Family Home,bdrs_5+,477500.000000,0.0052,0.7057,4167.00000,0.0141,0.2500,98.94379427124650,0.0030,0.4252,5.0,-0.2857,-0.3750,0.2000,-0.5334,-0.2000,81.00,26.50,0.4862,27.00,0.5000,0.0,,,0.0,,,0.0,-1.0000,,0.0,,,5.0,-0.2857,-0.3750,0.0000,0.0000,0.0000,-0.1494,0.5163,-0.0968,0.6000,0,0
201804,51820,"Waynesboro city, VA",USA,Single Family Home,bdrs_5+,737500.000000,0.0000,0.7351,6799.00000,0.0000,0.4800,183.85056625974400,0.0000,0.9873,4.0,0.0000,3.0000,0.0000,-1.0000,,216.50,24.50,0.1276,-39.50,-0.1543,0.0,,,0.0,,,0.0,,,0.0,-1.0000,,4.0,-0.2000,3.0000,0.0000,-0.2500,0.0000,-0.1034,4.4889,-0.1585,0.7111,0,0
201804,41005,"Clackamas, OR",USA,Single Family Home,bdrs_5+,939950.000000,0.0000,0.0816,4699.00000,0.0180,-0.0879,221.48955828376100,-0.0106,0.0920,28.0,-0.0968,-0.2000,0.2857,0.0419,0.0000,70.00,-3.00,-0.0411,1.00,0.0145,8.0,0.0000,0.0000,0.0,,,0.0,-1.0000,-1.0000,1.0,0.0000,,29.0,-0.0938,-0.1714,0.0357,0.0035,0.0357,-0.0048,-0.0472,0.0635,0.1552,0,0
201804,28139,"Tippah, MS",USA,Single Family Home,bdrs_5+,277049.000000,0.0000,0.2648,3405.00000,0.0000,0.0000,81.35066079295100,0.0000,0.5081,1.0,0.0000,-0.6667,0.0000,,,590.00,35.00,0.0631,364.00,1.6106,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,-0.6667,0.0000,0.0000,0.0000,0.6410,-0.7355,0.3913,-0.2000,0,0
201804,05137,"Stone, AR",USA,Single Family Home,bdrs_5+,1200050.000000,0.6438,0.2308,5000.00000,0.1377,-0.1403,240.00000000000000,0.5554,0.4316,1.0,-0.3333,0.0000,0.0000,,,263.00,114.50,0.7710,-481.00,-0.6465,0.0,,,0.0,,,0.0,,,0.0,,,1.0,-0.3333,0.0000,0.0000,0.0000,0.0000,-0.4839,2.2000,-0.2195,2.2000,0,1
201804,30063,"Missoula, MT",USA,Single Family Home,bdrs_5+,649050.000000,-0.1992,-0.3165,5000.00000,-0.0940,-0.1565,136.70033908133300,-0.0945,-0.2031,32.0,0.0667,0.2800,0.2187,-0.1252,1.7337,85.00,-70.50,-0.4534,-55.00,-0.3929,8.0,1.0000,1.0000,0.0,,,0.0,-1.0000,,0.0,,,32.0,0.0667,0.2800,0.0000,0.0000,0.0000,0.0797,1.6521,-0.0350,0.7250,0,0
201804,49023,"Juab, UT",USA,Single Family Home,bdrs_5+,497550.000000,-0.0015,-0.1707,5338.00000,0.0311,-0.0060,93.21717348189150,-0.0782,0.0409,4.0,0.6000,0.3333,0.5000,,-0.2500,54.00,-135.00,-0.7143,22.00,0.6875,0.0,,,0.0,,,0.0,,,1.0,1.0000,-0.5000,5.0,0.6667,0.0000,0.2500,0.0500,-0.4167,1.6522,2.0248,0.4259,0.9250,1,0
201804,35035,"Otero, NM",USA,Single Family Home,bdrs_5+,319950.000000,0.0000,0.3207,3960.00000,0.0000,0.4511,101.97838058331600,0.0000,0.1798,9.0,0.0000,-0.3571,0.1111,0.0000,-0.2226,213.00,7.50,0.0365,29.00,0.1576,0.0,,,0.0,,,0.0,,,1.0,-0.5000,0.0000,10.0,-0.0909,-0.3333,0.1111,-0.1111,0.0397,-0.2273,-0.6280,-0.1600,-0.3438,0,0
201804,05143,"Washington, AR",USA,Single Family Home,bdrs_5+,1150050.000000,0.0000,0.6475,6653.00000,-0.0173,0.2896,139.26218708827400,-0.0167,0.1574,15.0,-0.0323,-0.2857,0.2000,0.5503,-0.1601,217.00,16.00,0.0796,108.00,0.9908,4.0,,0.0000,0.0,,,4.0,,0.0000,2.0,3.0000,-0.7143,17.0,0.0625,-0.3929,0.1333,0.1011,-0.2000,-0.0179,-0.3500,-0.0080,-0.1268,1,0
