Month,ZipCode,ZipName,Property Type,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
201804,45879,"Paulding, OH",Condo/Townhome/Row Home/Co-Op,,99950.000000,0.0000,-0.0128,5.0,-0.0909,0.2500,61.00,1.0678,-0.6950,0.0,,,0.0,,,0.0,,,0.0,,,95971.0000,-0.0212,0.0010,5.0,-0.0909,0.2500,0.0000,0.0000,0.0000
201804,45885,"Saint Marys, OH",Condo/Townhome/Row Home/Co-Op,,144950.000000,0.3811,-0.0321,3.0,2.0000,2.0000,18.00,-0.8912,-0.9474,0.0,,,0.0,,,0.0,,,0.0,,,126283.0000,0.2032,-0.1568,3.0,2.0000,2.0000,0.0000,0.0000,0.0000
201804,45895,"Wapakoneta, OH",Condo/Townhome/Row Home/Co-Op,*,111050.000000,0.0000,,2.0,0.0000,,92.00,0.5207,,0.0,,,0.0,,,0.0,,,0.0,,,111050.0000,0.0000,,2.0,0.0000,,0.0000,0.0000,
201804,46001,"Alexandria, IN",Condo/Townhome/Row Home/Co-Op,,,,,,,,,,,,,,,,,,,,0.0,,-1.0000,,,,,,,,,
201804,46011,"Anderson, IN",Condo/Townhome/Row Home/Co-Op,*,132725.000000,0.0057,,3.0,0.0000,,43.75,0.3158,-0.6059,0.0,-1.0000,-1.0000,0.0,,,4.0,,,0.5,-0.7500,-0.8333,151233.0000,0.1012,0.1906,3.5,-0.3000,-0.4167,0.1667,-0.5000,-0.8333
201804,46012,"Anderson, IN",Condo/Townhome/Row Home/Co-Op,*,89950.000000,-0.0831,-0.0034,1.0,-0.6667,,37.50,-0.1892,0.0870,0.0,,,0.0,,,0.0,,,0.0,,,87700.0000,0.0740,0.0176,1.0,-0.6667,-0.8333,0.0000,0.0000,0.0000
201804,46013,"Anderson, IN",Condo/Townhome/Row Home/Co-Op,*,82500.000000,0.0608,,2.0,-0.6364,-0.7143,24.50,-0.8165,-0.8000,0.0,-1.0000,,0.0,,,0.0,,,0.0,-1.0000,-1.0000,102577.0000,-0.1434,-0.0809,2.0,-0.7895,-0.7500,0.0000,-0.7273,-0.1429
201804,46032,"Carmel, IN",Condo/Townhome/Row Home/Co-Op,,320050.000000,0.0000,0.1856,25.0,-0.4382,-0.3243,30.00,-0.4595,-0.5420,12.0,-0.2500,-0.2500,0.0,,,4.0,-0.5000,-0.5000,19.0,0.3103,0.1875,273934.0000,-0.1587,-0.0572,44.0,-0.2542,-0.1698,0.7600,0.4342,0.3276
201804,46033,"Carmel, IN",Condo/Townhome/Row Home/Co-Op,*,180040.000000,0.0227,,3.0,2.0000,,2.00,-0.9767,,8.0,,,0.0,,,0.0,,,2.0,-0.2000,,185013.0000,0.0882,-0.1194,5.0,0.4286,1.5000,0.6667,-1.8333,0.6667
201804,46037,"Fishers, IN",Condo/Townhome/Row Home/Co-Op,,215050.000000,0.0000,0.0755,1.0,-0.9333,-0.8750,258.00,5.0706,3.9615,0.0,-1.0000,-1.0000,0.0,,,0.0,-1.0000,,0.0,-1.0000,-1.0000,229628.0000,0.0200,0.1195,1.0,-0.9630,-0.9412,0.0000,-0.8000,-1.1250
201804,46038,"Fishers, IN",Condo/Townhome/Row Home/Co-Op,*,200050.000000,0.2600,,2.0,-0.7647,,25.00,0.3514,,0.0,-1.0000,-1.0000,0.0,,,0.0,,,2.0,-0.6923,-0.7500,189050.0000,0.1424,0.1124,4.0,-0.7333,-0.8182,1.0000,0.2353,0.4286
